movie_id,title,release_year,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,director_id
18256,Урод в замке,1996,90,,,2.8715,6.107,233,en,27991
22625,Круг друзей,1995,103,15000000,45000000,0.8028,6.242,94,en,19969
2292,Клерки,1994,91,27575,3151130,4.4704,7.385,2647,en,19303
1909,Дон Жуан де Марко,1994,97,25000000,68792531,2.0074,6.727,776,en,25210
8984,Разоблачение,1994,128,55000000,214015089,3.527,6.3,1230,en,8246
61813,Dream Man,1995,94,,,2.1003,3.214,7,en,225065
4954,Зона высадки,1994,101,45000000,62000000,2.776,5.7,435,en,12840
62488,Дестини включает радио,1995,103,,1200000,0.8491,4.957,46,en,58154
10531,Смерть и девушка,1994,103,12000000,8003716,1.6459,7.1,532,en,3556
11929,Долорес Клэйборн,1995,132,13000000,46400000,1.3557,7.3,833,en,18596
8467,Тупой и еще тупее,1994,107,16000000,247275374,8.1339,6.64,6471,en,7396
10451,"Ешь, пей, мужчина, женщина",1994,124,,24194403,2.5988,7.6,379,zh,1614
20156,Экзотика,1994,104,2000000,4221036,2.4904,6.6,374,en,56205
18395,Выход к Раю,1994,114,27500000,6800000,1.4716,4.1,95,en,1201
522,Эд Вуд,1994,127,18000000,5900000,2.8367,7.5,2433,en,510
397,Французский поцелуй,1995,111,,101982854,3.8307,6.5,767,en,8844
10525,Забыть Париж,1995,101,,33177694,1.8054,6.3,159,en,7904
27985,Far from Home: The Adventures of Yellow Dog,1995,81,,,1.3713,6.151,93,en,148119
15789,Каникулы Гуфи,1995,78,18000000,35348597,3.0111,7.0,1858,en,15775
27303,Убежище,1995,106,15000000,12201255,0.6735,5.2,167,en,57090
21183,Флюк,1995,96,15000000,4000000,2.454,7.099,273,en,87695
10954,Фаринелли-кастрат,1994,111,,,2.4341,6.6,180,fr,67794
47867,Gordy,1995,90,,3992809,2.4135,5.3,32,en,548480
43475,Gumby: The Movie,1995,77,2800000,57100,0.7191,5.5,17,en,129534
72031,Стеклянный щит,1994,109,5000000,3291163,1.6588,5.022,46,en,97755
14275,Баскетбольные мечты,1994,174,700000,7830611,2.6253,7.6,319,en,122449
1024,Небесные создания,1994,109,5000000,3049135,3.619,6.97,988,en,108
17207,Гость дома,1995,109,10500000,26300000,1.2412,5.441,76,en,77121
13701,Бессмертная возлюбленная,1994,121,120,,2.7847,7.079,357,en,57851
14819,Толстопузы,1995,97,10000000,17700000,3.3227,6.2,399,en,32593
32631,Преследуемый,1995,111,15000000,6600000,3.149,5.7,118,en,1203
11777,Коэффициент интеллекта,1994,100,25000000,26381221,2.3418,6.018,475,en,64061
628,Интервью с вампиром,1994,123,60000000,223664608,5.9108,7.381,6198,en,17016
87729,Джефферсон в Париже,1995,139,14000000,2474000,1.3936,5.033,45,en,54441
18713,The Jerky Boys,1995,82,,,0.7759,4.152,33,en,73668
6280,Джуниор,1994,110,60000000,108400000,4.029,5.19,1582,en,8858
9061,Правое дело,1995,98,,36853222,2.482,6.2,598,en,56872
37108,Первый рыцарь при дворце короля Артура,1995,89,,,1.6744,4.965,188,en,62043
6071,Поцелуй смерти,1995,101,40000000,14942422,1.4499,5.681,345,en,23393
11,Звёздные войны: Эпизод 4 - Новая надежда,1977,121,11000000,775398007,12.5529,8.204,21698,en,1
9587,Маленькие женщины,1994,119,18000000,94983123,4.3164,7.279,1293,en,58094
19101,Маленькая принцесса,1995,97,17000000,10000000,2.4717,7.617,1014,en,11218
49980,"Божья коровка, улети на небо",1994,101,,,2.5575,7.203,101,en,15488
17961,Ад,1994,102,10000000,39003,4.3188,6.8,261,fr,19069
18183,Как вода для шоколада,1992,105,2000000,21744201,2.6896,7.278,540,es,22767
