movie_id,genre_id
10061,53
36266,18
36266,80
549,18
549,36
10478,18
10478,10749
10478,35
66634,18
66634,10402
116690,18
213917,18
145925,35
100914,18
238,18
238,80
484245,36
484245,10402
484245,18
159,35
159,18
11134,28
11134,80
11134,53
88224,18
88224,35
132641,18
42758,18
9303,18
9303,53
9303,80
23945,10751
23945,35
37820,35
37820,80
37820,18
37820,53
22479,18
22479,80
9054,35
241058,10749
241058,35
241058,14
11985,18
10232,18
59569,18
410921,28
410921,80
410921,18
38955,28
38955,80
38955,53
38955,35
110513,35
110513,18
114089,18
11015,27
11015,9648
11015,53
11015,878
9306,878
9306,27
12559,35
12559,10751
58770,18
58770,53
124851,18
3587,14
3587,35
3587,10751
10723,35
10723,80
10723,28
56077,18
56077,10749
56077,10752
101230,18
101230,10749
253632,53
253632,80
253632,9648
253632,10749
10987,27
10987,53
44705,18
44705,35
44705,10749
20318,18
20318,36
43596,18
43596,10749
79782,18
79782,10749
26933,18
26933,10749
27854,10752
27854,10749
27854,36
27854,18
27854,12
981,35
981,10749
872,35
872,10749
2769,10402
2769,10749
2769,35
13320,10402
13320,35
13320,10749
164,35
164,10749
164,18
426,9648
426,10749
426,53
567,53
567,9648
3078,35
3078,10749
13528,53
13528,18
13528,9648
13528,80
28288,35
28288,10749
213,53
213,12
284,35
284,18
284,10749
239,35
239,10749
239,80
4808,35
4808,9648
4808,10749
289,18
289,10749
963,9648
963,80
963,53
11113,10402
11113,35
11113,10749
6620,35
6620,10749
6620,18
804,10749
804,35
804,18
26531,10751
26531,18
26531,35
909,35
909,18
909,10749
909,10751
630,12
630,14
630,10751
770,18
770,10752
770,10749
31044,35
31044,18
599,18
15,9648
15,18
62,878
62,9648
62,12
121357,12
121357,10749
705,18
22490,35
22490,18
223,9648
223,10749
223,53
25670,53
25670,9648
25670,28
303,53
303,10749
303,9648
4174,53
4174,9648
4174,10749
8356,18
8356,10749
381,9648
381,10749
381,53
20758,35
20758,10749
20758,18
29376,10402
29376,35
29376,10749
1859,35
1859,10749
18299,35
18299,10749
17281,35
17281,10749
64382,35
64382,10749
10907,12
10907,10749
10907,36
32093,12
32093,10749
32093,28
1939,18
1939,9648
22292,10749
22292,14
22292,18
3598,12
3598,14
3598,18
3598,10749
3080,10402
3080,35
3080,10749
198,35
198,10752
198,10749
13562,35
1712,18
1712,37
220,18
3529,35
3529,9648
3529,80
3085,35
3085,10749
2897,12
2897,35
2897,10751
2897,14
2897,10749
1585,18
1585,10751
1585,14
3083,35
3083,18
900,35
900,10749
43795,18
43795,10749
85638,18
85638,36
50001,9648
50001,35
50001,10402
50001,80
43905,18
43905,10749
22688,35
22688,14
22688,10749
23114,18
23114,10751
26378,80
26378,18
40206,35
40206,10402
40206,10749
22356,37
22356,10749
22356,12
22356,28
260,9648
260,53
43488,10752
43488,18
22613,37
22613,18
10331,27
10331,53
488,10749
488,12
488,18
22733,12
22733,35
261,18
57575,18
57575,10749
32574,35
32574,18
22657,18
22657,9648
22657,10749
22657,80
76464,35
76464,10749
22649,18
22649,10749
22649,10752
176841,9648
176841,35
176841,10402
125587,18
39448,28
39448,35
39448,80
52855,18
52855,80
39940,18
39940,10749
172868,10749
85328,35
85328,10749
85328,18
124632,99
124632,10751
11076,12
11076,18
11076,10751
63945,18
63945,10749
58985,35
58985,18
58985,10402
890,18
10861,28
10861,53
10861,80
1770,10752
1770,18
1770,53
1770,36
44465,53
2033,18
2033,10749
18203,18
18203,10749
18203,35
9333,80
9333,28
9333,37
47260,28
47260,18
47260,53
9400,80
9400,18
9400,53
9401,35
9401,80
9401,53
12241,35
12241,80
12241,53
25739,35
161806,35
161806,10749
11306,18
11306,53
9625,28
9625,80
9625,53
10680,35
10680,28
10680,10751
10680,18
6346,80
6346,18
18660,35
18660,10751
18660,37
35115,12
35115,10751
35115,37
14821,12
14821,14
14821,878
14821,10751
14136,35
14136,10751
14136,14
10869,10749
10869,35
10869,10751
10869,14
22660,12
22660,18
22660,10751
22660,37
19186,35
19186,10751
19186,10749
31102,35
31102,18
31102,10751
6878,12
6878,35
6878,10751
15944,35
15944,10751
15944,14
18444,12
18444,10751
20723,10751
20723,35
20723,80
173,12
173,878
173,10751
864,35
864,12
864,18
24795,35
24795,10751
24795,14
11224,10751
11224,14
11224,16
11224,10749
81310,10751
81310,16
81310,10402
15947,16
15947,10751
15947,10402
9078,16
9078,10751
9078,14
29682,18
29682,10751
29682,16
8367,28
8367,12
8367,18
433,35
433,10751
433,14
11360,16
11360,10751
11114,14
11114,16
11114,35
11114,10751
12335,12
12335,14
12335,35
12335,10751
12335,10402
12335,16
12092,16
12092,10751
12092,14
12092,12
10948,12
10948,16
10948,18
10948,10751
11229,35
11229,80
11229,53
11229,18
15121,18
15121,10751
15121,10402
15121,10749
562,28
562,53
10163,878
10163,27
48862,18
48862,10749
117036,99
47199,18
47199,53
11159,18
9591,35
9591,18
9591,10749
9591,10402
30500,18
30500,10749
41843,18
41843,10749
55058,35
55058,10749
10938,35
10938,18
10938,10749
11412,80
11412,28
11412,9648
11412,53
10586,12
10586,53
10586,36
42314,99
27845,18
27845,35
108365,18
23223,80
23223,18
23223,10749
49471,18
49471,12
38153,53
25147,18
25147,10749
9716,35
9716,10749
43777,18
43777,10749
454,18
454,10749
10218,35
10218,18
819,80
819,18
819,53
38191,18
38191,80
56830,18
56830,10749
27256,9648
27256,80
27256,18
31530,35
31530,10749
66473,10402
66473,35
66473,10749
28120,80
28120,9648
28120,53
1834,80
1834,18
1834,9648
