movie_id,person_id,role
80350,2286131,Original Music Composer
268,531,Original Music Composer
268,21037,Songs
274,117,Original Music Composer
408,2107,Original Music Composer
408,5467,Original Music Composer
408,5466,Original Music Composer
408,31021,Music
408,137461,Songs
408,5466,Songs
10020,15813,Original Music Composer
10020,15813,Songs
10020,62049,Songs
10895,5467,Original Music Composer
10895,2107,Original Music Composer
10895,5466,Music
10895,31021,Music
10895,5467,Songs
114,1213,Original Music Composer
41043,125340,Music
41043,545613,Original Music Composer
576,7769,Original Music Composer
15477,95339,Original Music Composer
30528,66941,Original Music Composer
7300,1213,Original Music Composer
7300,53273,Original Music Composer
10824,1551,Original Music Composer
261246,70588,Original Music Composer
275,1225,Original Music Composer
25059,20897,Original Music Composer
11827,7182,Original Music Composer
8766,46353,Original Music Composer
23570,2987,Original Music Composer
47333,65250,Original Music Composer
47333,138559,Original Music Composer
54850,32804,Music
51242,31543,Original Music Composer
10112,57337,Original Music Composer
10112,5839,Songs
10112,5838,Songs
4307,405,Original Music Composer
46029,1062037,Original Music Composer
32308,21276,Original Music Composer
52873,20075,Original Music Composer
123505,45528,Original Music Composer
44281,1604800,Music
28121,2022918,Original Music Composer
12520,5666,Original Music Composer
1592,1213,Original Music Composer
166901,115036,Original Music Composer
166901,5227955,Original Music Composer
166901,4595349,Original Music Composer
36447,20897,Original Music Composer
19042,1785342,Songs
19042,2016242,Songs
19042,30693,Original Music Composer
38884,1528,Original Music Composer
47449,107837,Original Music Composer
36259,43393,Original Music Composer
41852,50520,Original Music Composer
40926,101843,Original Music Composer
40926,1343912,Music
40926,1073773,Music
9099,37,Original Music Composer
2021,7741,Original Music Composer
61752,21037,Songs
10988,14712,Original Music Composer
11479,69544,Original Music Composer
11479,69545,Original Music Composer
11479,69546,Original Music Composer
12652,20075,Original Music Composer
10684,1729,Original Music Composer
954,531,Original Music Composer
68445,43528,Original Music Composer
18989,9989,Original Music Composer
10801,66875,Original Music Composer
54285,2507100,Original Music Composer
8840,14712,Original Music Composer
278978,56134,Music
124625,7657,Music
124625,18161,Music
11107,9769,Original Music Composer
16417,69101,Original Music Composer
16417,1320525,Original Music Composer
10363,3098,Original Music Composer
161070,4173,Original Music Composer
10539,7885,Original Music Composer
10539,7885,Songs
10543,1225,Original Music Composer
18414,960248,Original Music Composer
18414,1303152,Original Music Composer
18414,5515893,Songs
47502,38545,Original Music Composer
11902,53908,Original Music Composer
25087,62811,Original Music Composer
5801,13745,Original Music Composer
896,13745,Original Music Composer
3065,89006,Original Music Composer
318177,3735810,Original Music Composer
2300,1213,Original Music Composer
8069,1251718,Original Music Composer
8069,50239,Original Music Composer
288173,1332252,Music
288173,1380067,Music
187851,1330531,Original Music Composer
27768,2583332,Original Music Composer
221917,1531237,Original Music Composer
8072,24295,Original Music Composer
35797,20075,Original Music Composer
88030,1153076,Original Music Composer
88030,3599047,Original Music Composer
83857,1259,Original Music Composer
33245,7728,Original Music Composer
124460,3048,Original Music Composer
